$ binwalk tt3720.ah-3_09-0001-tt3720.bin

DECIMAL       HEXADECIMAL     DESCRIPTION
8786320       0x861190        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/cmd_txsat_main.cpp
8789308       0x861D3C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/cmd_tt_iqsamples.cpp
8790736       0x8622D0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/cmd_tt_turbodecoder.cpp
8791472       0x8625B0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/cmd_tt_echoctrl.cpp
8792620       0x862A2C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/cmd_tt_vocsamples.cpp
8793508       0x862DA4        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/cmd_tt_DO160ber.cpp
8795616       0x8635E0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/cmd_tt_prod_dsp_tx_set_cable_attenuator.cpp
8796224       0x863840        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/cmd_tt_prod_dsp_tx_set_eirp_att.cpp
8796636       0x8639DC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/cmd_tt_prod_dsp_tx_set_gpo.cpp
8797152       0x863BE0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/cmd_tt_prod_dsp_rx_get_lock_detect.cpp
8797560       0x863D78        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/cmd_tt_prod_dsp_rx_get_agc_gain.cpp
8798036       0x863F54        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/cmd_tt_prod_dsp_rx_channel_power_calc.cpp
8798680       0x8641D8        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/satdd/src/cmd_tt_prod_dsp_rx_set_pll.cpp
8799592       0x864568        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/search_dsp_ctrl/src/search_dsp_ctrl.cpp
8804995       0x865A83        eCos RTOS string reference: "ecos: timeout waiting for not busy - continuing anyway"
